,Id,SalePrice
0,2658,149185.3945821012
1,2718,165954.64782230894
2,2414,204223.7428045051
3,1989,127135.1233022357
4,625,187758.73818476978
5,333,90212.2303107216
6,1327,114530.89963717964
7,858,171239.1710403943
8,95,188338.32500074685
9,1568,172217.66456671385
10,2482,172591.4037433968
11,1364,137796.6681918575
12,2584,143990.47282028905
13,818,263604.1589482135
14,2673,168199.52383347685
15,2089,98628.25253114053
16,1297,163518.57932383442
17,790,119461.77071815934
18,2616,206703.49791722297
19,720,219641.0346029114
20,222,153471.23457567976
21,557,122370.44000872044
22,1148,210541.46683445503
23,2766,176372.46592793713
24,534,184818.34060135952
25,1452,128166.94616327195
26,630,109262.2940687771
27,2648,142251.94232387055
28,125,170359.17054859153
29,1904,43848.99525071689
30,1670,109909.54928536147
31,756,124472.79964594389
32,717,256118.39844515832
33,1032,161046.878315493
34,852,225574.54017888487
35,1731,174781.42334682614
36,2639,123131.34558287484
37,2071,64201.116027208
38,1267,120708.06686919148
39,1851,191024.39357578897
40,567,167581.52203383515
41,2439,194773.83441660396
42,1898,153933.6350371588
43,647,175380.18744191795
44,2256,247834.30633822136
45,979,91368.99578019729
46,1444,225441.2081708816
47,2485,113035.9641417238
48,157,129700.22926817634
49,88,123309.21492424503
50,2003,117730.95313485051
51,186,224003.56128113327
52,1425,240553.70935254032
53,2695,150541.69468168897
54,738,117903.90934405921
55,395,165411.97183753568
56,1353,170680.09076692237
57,1878,148159.9466296723
58,390,162892.46176751348
59,1456,221511.1414283748
60,1103,303721.4319002272
61,1387,113816.40491993939
62,2070,161053.1920042792
63,1199,171369.85943885677
64,2479,174292.87521793536
65,501,305329.1032916253
66,2362,68275.87555208725
67,1718,205718.57297431745
68,2188,62689.24277189214
69,1483,164354.82250393374
70,2557,88409.62422107288
71,437,317468.7004651056
72,2224,216738.968304674
73,1628,168811.41173609815
74,397,138881.07630383328
75,587,224731.3958369788
76,2182,541742.5367628811
77,971,134289.98744919855
78,2611,144317.34740916072
79,1887,73532.04568527763
80,2399,328481.83877391246
81,2148,196861.06620678003
82,304,156009.63333985838
83,1997,147258.53763168133
84,2817,128062.1959992059
85,1431,198475.76411130704
86,427,309970.8721614605
87,263,129116.47726333317
88,598,188811.46981744608
89,2895,257385.88248140056
90,687,151430.75117313673
91,1822,131818.39218339225
92,2191,113322.1567214663
93,179,122919.72333945206
94,1009,201301.81320486325
95,2010,124349.38465908816
96,1991,159279.27300972425
97,1411,210731.34837530935
98,1721,223890.17577405603
99,1144,193969.1159766846
100,593,212545.90148332034
101,575,370644.1964748353
102,1249,187828.12031009764
103,1604,127182.56681675998
104,1064,407729.4522776229
105,1923,147467.34685910615
106,1988,112523.85081411559
107,2325,169147.75947375633
108,114,193373.19283392146
109,2700,176301.94320082376
110,217,133301.7580634585
111,343,187465.21657153498
112,386,214271.64589432973
113,2005,122593.75722484497
114,2908,114900.3029963895
115,1814,223576.95003731054
116,2446,459430.25244580966
117,208,164400.97758022722
118,1679,130467.28128746574
119,822,301938.00139622716
120,6,184944.26703537212
121,1781,354922.0831602125
122,2397,284308.8567566885
123,2340,265336.3710726975
124,1618,159967.34318234332
125,2843,204499.9057604755
126,1061,331047.90356858005
127,2786,119941.16458472889
128,1935,129032.64480323956
129,1341,127666.30488683879
130,521,258258.0791349402
131,2136,135630.82209068607
132,996,193944.4015689724
133,227,144669.1682668979
134,135,196568.42597033147
135,1167,165286.99746685955
136,294,252544.64771791248
137,1776,194981.65540472887
138,540,175462.42275243666
139,1717,205717.49996193222
140,2303,130753.4157795641
141,116,195644.75248951835
142,127,140660.65711579495
143,1371,146789.55437948543
144,1014,145979.17680132552
145,1507,84012.96501280594
146,702,159851.7123356912
147,750,163129.36593926448
148,261,151025.95453461944
149,1559,96602.55565055074
150,577,282507.93151856156
151,2812,193587.94927142834
152,2080,166570.34953550226
153,1368,118351.49999422266
154,2376,130411.083736887
155,659,129912.82168488769
156,1235,123477.10808049882
157,332,65359.474788169304
158,1917,136211.60209043522
159,2094,255582.29861590848
160,1460,276790.1484596693
161,1471,214546.83906479419
162,1509,117409.29737687751
163,1922,122236.7660154528
164,433,398733.65390889323
165,460,246184.20325963583
166,1116,235667.12392056632
167,1137,164489.233360126
168,53,178289.2200111339
169,2354,257384.0821990426
170,1475,197415.98171828967
171,1761,445392.944250979
172,842,126830.9010852793
173,2739,204108.0475757305
174,2509,161754.21759969933
175,1007,193635.21090492044
176,2610,186545.8151134431
177,1952,106693.90438588324
178,2719,173454.3216933066
179,2921,88035.50755610724
180,1966,126955.6160031704
181,292,154917.51135843748
182,1204,189632.76215025535
183,1829,318508.4687992082
184,2419,177040.05477153684
185,391,158974.1202899186
186,798,121197.55279899055
187,481,185207.54561185642
188,193,212596.8193913889
189,555,117667.70938898114
190,899,49313.60515730173
191,2357,193956.81221302826
192,328,142110.8978683892
