Id,SalePrice
2658,126015.38946988844
2718,173940.8551210757
2414,212913.107418552
1989,102314.38326419842
625,169632.76410998424
333,98153.22786177027
1327,98993.38364731918
858,167993.30534596424
95,191492.8383821887
1568,178904.25302646577
2482,173387.0787604837
1364,119414.45424309983
2584,162378.04522923107
818,275892.6268590115
2673,149933.08165426063
2089,108863.82008502135
1297,154686.40843287142
790,127785.8090540204
2616,183647.4275676105
720,197927.85972251248
222,155898.6633428242
557,127977.9674183127
1148,209145.3465264738
2766,166503.1061540547
534,194929.66135158954
1452,139410.8264513954
630,101811.75946991242
2648,127898.62599433614
125,169078.48860684724
1904,51433.21260902942
1670,111180.65611954815
756,91345.84883215274
717,239915.40522399804
1032,167147.35860050234
852,222025.01551344845
1731,179479.59888961256
2639,104605.40437932863
2071,79090.26889287947
1267,126508.8308307818
1851,196876.80823337293
567,171453.75554507365
2439,203276.5285207567
1898,155479.25855080909
647,162105.96173162505
2256,235748.2058903739
979,111064.65679784896
1444,221272.97057072032
2485,114442.95601376196
157,121775.75594072926
88,126444.18432289983
2003,103150.91445050064
186,204461.23059881164
1425,268105.5516399011
2695,128981.39337646111
738,94511.94776743194
395,167761.43230637562
1353,163653.65672324947
1878,142404.37814439496
390,173153.72269420905
1456,234352.89168109867
1103,324977.16701330803
1387,114470.35044474965
2070,153446.36901679233
1199,168152.235963445
2479,177701.25114377984
501,324122.268527301
2362,91050.35817845618
1718,211970.38360647415
2188,82921.44948378266
1483,164568.05274991968
2557,70579.99396527931
437,323331.26241185464
2224,197657.3706362971
1628,164233.21480957433
397,128717.18017473789
587,205784.44515813747
2182,707645.412969553
971,124188.14812143952
2611,149533.84889238875
1887,90542.9744214613
2399,345105.8888935211
2148,201131.84857296295
304,117226.930996863
1997,136643.10318179952
2817,105598.93026179368
1431,206514.02626738528
427,377821.90988456854
263,134269.61131539493
598,189841.24160892374
2895,245675.43687392434
687,144682.71062211713
1822,137979.3408167534
2191,95765.62430926629
179,107573.73525684823
1009,249413.85741802305
2010,116450.57050591633
1991,144758.33318308461
1411,191767.62868397636
1721,245106.9765702802
1144,196271.32655186043
593,220505.559978701
575,295340.00265969546
1249,176144.17062634495
1604,119728.98154353295
1064,454183.957041942
1923,164660.61250375194
1988,131108.498671232
2325,165127.32174014763
114,204486.86518353774
2700,192546.18265709517
217,145589.57882993596
343,190464.30014798592
386,221601.30959385808
2005,108418.06083412445
2908,142999.2609769013
1814,231691.11456077048
2446,505500.89256092435
208,140083.2411295912
1679,116706.91700704324
822,326667.083396674
6,186385.9164365028
1781,393235.8978016926
2397,296175.08196857653
2340,323745.7206842315
1618,171086.9992852844
2843,126038.55877473386
1061,345293.0691091114
2786,138348.58640665968
1935,139887.4693820339
1341,115970.83028634891
521,286819.0912311066
2136,136699.01929819136
996,203493.07166736052
227,144694.73732899313
135,187505.4740823671
1167,169720.53360817197
294,222617.5340009559
1776,206592.84482816604
540,182864.00862604295
1717,211969.47816015378
2303,130380.30920967483
116,206763.8303602591
127,152665.2767926802
1371,118457.956208658
1014,171489.77934473718
1507,107846.29006999981
702,135244.92620567756
750,145410.33950922266
261,140671.9276275933
1559,68935.67725147089
577,229854.02955765312
2812,202149.1411584472
2080,167589.4332597962
1368,119118.86686038764
2376,132601.51936510362
659,113057.63704229637
1235,127750.99439548893
332,87187.74902981067
1917,152419.58343146284
2094,258247.71681537532
1460,263555.7968778251
1471,219769.96516361204
1509,114153.22957614444
1922,129951.53838415339
433,469293.7286654757
460,261472.56472091185
1116,268384.8772550221
1137,178541.36508001108
53,179029.05407660565
2354,246789.99114247717
1475,214431.12282520882
1761,584862.3072399019
842,133852.44942248915
2739,203482.59765870406
2509,167533.99744023557
1007,195744.1752754272
2610,185736.83893061936
1952,112679.47286322624
2719,172986.13284885974
2921,94065.5835310573
1966,143428.06680551992
292,113746.89939254607
1204,185068.01620025106
1829,256110.88439168586
2419,185259.979397137
391,156803.2481300272
798,117392.74442147894
481,194722.0819697369
193,193367.6632999901
555,124346.54267924307
899,43163.964327163005
2357,185830.04875342472
328,145394.53700797673
1356,104432.9668935103
1154,116250.88112143963
1730,178602.71234857256
2249,152787.416797323
1119,286869.68504843133
2856,145809.60302621603
1394,129716.65210533678
2587,124065.17731717319
61,306039.3932739596
2661,173160.2348172955
2711,152430.842512494
1147,179652.27656457663
757,123732.91527985051
2623,76074.82043846353
2378,154834.71602598144
1413,149205.71808136126
1722,230221.81278745068
1112,220152.29878577686
1623,178871.7453367676
1201,206432.40416036142
1513,122043.27815545135
957,380912.34237327136
1171,265667.6290591869
1145,203672.43514619896
2726,230756.46293359794
